text,sentiment
I absolutely loved this product,Positive
The service was excellent and fast,Positive
Amazing experience would definitely recommend,Positive
The quality exceeded my expectations,Positive
I am very happy with my purchase,Positive
The customer support team was very helpful,Positive
Fantastic product and great value for money,Positive
Highly satisfied with the overall service,Positive
This is the best thing I have bought,Positive
Everything worked perfectly,Positive

The product stopped working after two days,Negative
Very disappointed with the quality,Negative
The service was terrible and slow,Negative
I regret buying this item,Negative
Waste of money and time,Negative
The staff was rude and unprofessional,Negative
It did not meet my expectations,Negative
I had a very bad experience,Negative
The product arrived damaged,Negative
I would not recommend this to anyone,Negative

The product is okay for the price,Neutral
It works as expected,Neutral
The experience was average,Neutral
Nothing special about this item,Neutral
The service was acceptable,Neutral
It performs its basic functions,Neutral
The quality is neither good nor bad,Neutral
It is an ordinary product,Neutral
I have mixed feelings about this purchase,Neutral
The overall experience was satisfactory,Neutral
